id,name,power,age,nationality,country,subject,type,sex
PatriaYLibertad,Patria Y Libertad,2,0,2,1,1,1,0
ManuelContreras,Manuel Contreras,5,4,2,1,1,0,1
HugoRoggendorf,Hugo Roggendorf,2,4,4,2,6,0,1
WalterRauff,Walter Rauff,2,4,4,2,6,0,1
HansAlbertLoeper,Hans Albert Loeper,2,4,4,2,6,0,1
GerhardMertins,Gerhard Mertins,3,4,4,2,2,0,1
FreundeskreisColoniaDignidad,Freundeskreis Colonia Dignidad,1,0,4,2,6,1,0
ManfredRoeder,Manfred Roeder,1,4,4,2,6,0,1
FranzJosefStrauss,Franz Josef Strauss,4,4,4,2,1,0,1
DeutscheBotschaft,Deutsche Botschaft,5,0,4,1,1,1,0
AugustoPinochet,Augusto Pinochet,5,4,2,1,1,0,1
ErichStraetling,Erich Straetling,3,4,4,2,1,0,1
WolfgangVogelgesang,Wolfgang Vogelgesang,2,4,4,2,1,0,1
GerhardLoewenthal,Gerhard Loewenthal,2,4,4,2,6,0,1
PaulSchaefer,Paul Schaefer,5,4,4,2,1,0,1
